['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'TotalRecovered', 'NewRecovered', 'ActiveCases']
['World', '107,861,936', '+25,560', '2,365,119', '+1,660', '80,027,727', '+37,283', '25,469,090', '101,449']
['USA', '27,897,214', '', '483,200 ', '', '17,827,323']
['India', '10,871,060', '', '155,399 ', '', '10,571,629']
['Brazil', '9,662,305', '', '234,945 ', '', '8,596,130']
['Russia', '4,012,710', '', '78,134 ', '', '3,516,461']
['UK', '3,985,161', '', '114,851 ', '', '2,018,844']
['France', '3,385,622', '', '80,443 ', '', '237,113']
['Spain', '3,023,601', '', '63,704 ', '', 'N/A']
['Italy', '2,668,266', '', '92,338 ', '', '2,165,817']
['Turkey', '2,556,837', '', '27,093 ', '', '2,445,285']
['Germany', '2,311,297', '', '63,979 ', '', '2,087,600']
['Colombia', '2,173,347', '', '56,733 ', '', '2,055,468']
['Argentina', '2,001,034', '', '49,674 ', '', '1,798,120']
['Mexico', '1,957,889', '+11,138', '169,760 ', '+1,328', '1,519,572']
['Poland', '1,563,645', '', '39,721 ', '', '1,319,635']
['Iran', '1,488,981', '', '58,686 ', '', '1,272,287']
['South Africa', '1,482,412', '', '47,145 ', '', '1,374,368']
['Ukraine', '1,258,094', '+5,039', '24,058 ', '+124', '1,098,944']
['Peru', '1,203,502', '', '42,859 ', '', '1,117,729']
['Indonesia', '1,183,555', '', '32,167 ', '', '982,972']
['Czechia', '1,055,415', '', '17,642 ', '', '941,014']
['Netherlands', '1,012,908', '', '14,590 ', '', 'N/A']
['Canada', '813,982', '', '21,004 ', '', '754,736']
['Portugal', '774,889', '', '14,718 ', '', '636,859']
['Chile', '760,576', '', '19,105 ', '', '720,852']
['Romania', '752,482', '', '19,135 ', '', '698,534']
['Belgium', '730,951', '+2,617', '21,512 ', '+40', '50,201']
['Israel', '709,729', '', '5,257 ', '', '636,189']
['Iraq', '634,539', '', '13,140 ', '', '602,820']
['Sweden', '600,244', '', '12,326 ', '', 'N/A']
['Pakistan', '559,093', '+1,502', '12,185 ', '+57', '516,683']
['Philippines', '541,560', '', '11,401 ', '', '499,971']
['Bangladesh', '539,153', '', '8,239 ', '', '485,290']
['Switzerland', '538,118', '', '9,711 ', '', '317,600']
['Morocco', '476,689', '', '8,436 ', '', '456,751']
['Austria', '427,562', '', '8,114 ', '', '405,921']
['Serbia', '413,943', '', '4,168 ', '', '31,536']
['Japan', '408,186', '', '6,557 ', '', '372,535']
['Hungary', '380,013', '', '13,347 ', '', '285,022']
['Saudi Arabia', '371,356', '', '6,415 ', '', '362,368']
['Jordan', '340,177', '', '4,411 ', '', '323,206']
['UAE', '336,142', '', '956 ', '', '316,053']
['Panama', '329,367', '', '5,550 ', '', '300,610']
['Lebanon', '328,023', '', '3,803 ', '', '217,578']
['Nepal', '272,349', '', '2,047 ', '', '268,549']
['Slovakia', '268,986', '', '5,502 ', '', '251,618']
['Georgia', '264,158', '+557', '3,321 ', '+10', '256,024']
['Belarus', '261,859', '', '1,811 ', '', '250,078']
['Ecuador', '260,076', '', '15,116 ', '', '220,398']
['Malaysia', '251,604', '', '923 ', '', '198,495']
['Croatia', '236,333', '', '5,238 ', '', '228,499']
['Bolivia', '232,502', '+1,771', '10,996 ', '+67', '172,710']
['Azerbaijan', '231,509', '', '3,167 ', '', '225,914']
['Bulgaria', '226,974', '', '9,527 ', '', '195,211']
['Dominican Republic', '225,472', '', '2,883 ', '', '171,186']
['Tunisia', '219,650', '', '7,378 ', '', '180,381']
['Ireland', '205,939', '', '3,794 ', '', '23,364']
['Denmark', '202,887', '', '2,255 ', '', '194,601']
['Kazakhstan', '199,093', '+1,007', '2,540 ', '', '180,807']
['Costa Rica', '198,338', '', '2,701 ', '', '159,586']
['Lithuania', '187,991', '', '2,988 ', '', '142,313']
['Slovenia', '175,795', '', '3,667 ', '', '158,128']
['Kuwait', '173,983', '', '980 ', '', '163,264']
['Egypt', '171,390', '', '9,804 ', '', '133,331']
['Armenia', '168,676', '+180', '3,135 ', '+5', '160,670']
['Greece', '167,549', '', '6,034 ', '', '149,644']
['Moldova', '166,553', '', '3,589 ', '', '154,956']
['Guatemala', '164,746', '', '5,989 ', '', '151,319']
['Palestine', '164,736', '', '1,909 ', '', '154,260']
['Honduras', '157,468', '+862', '3,806 ', '+17', '62,120']
['Qatar', '155,453', '', '253 ', '', '147,451']
['Ethiopia', '144,249', '', '2,167 ', '', '126,797']
['Nigeria', '142,578', '', '1,702 ', '', '116,947']
['Myanmar', '141,487', '', '3,181 ', '', '128,692']
['Paraguay', '140,797', '', '2,876 ', '', '116,951']
['Oman', '136,377', '', '1,537 ', '', '128,255']
['Venezuela', '131,476', '', '1,253 ', '', '123,411']
['Libya', '126,028', '', '1,989 ', '', '107,386']
['Bosnia and Herzegovina', '124,696', '', '4,853 ', '', '100,640']
['Algeria', '109,782', '', '2,926 ', '', '75,243']
['Bahrain', '109,604', '', '391 ', '', '102,725']
['Kenya', '102,221', '', '1,791 ', '', '84,728']
['North Macedonia', '95,736', '', '2,959 ', '', '86,844']
['Albania', '88,671', '', '1,503 ', '', '53,616']
